RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Kristaps Porzingis,Atl,*,F-C,30.3,12,26.4,25.9,6.7,65,0.862,95,0.568,59,0.339,0.545,0.613,18.7,5.9,3.3,0.4,1.6,0.9,24.6,21.9,27.8,10.8,129.1,105.7
,Evan Mobley,Cle,*,C,24.5,19,34.2,23.0,16.1,116,0.603,180,0.544,81,0.37,0.548,0.57,18.7,8.9,4.1,1.1,1.6,2.6,27.7,22.8,31.7,10.3,113.5,109.1
,Jaren Jackson Jr.,Mem,*,F-C,26.2,18,29.5,25.4,12.7,75,0.813,162,0.531,92,0.37,0.539,0.584,18.6,5.1,1.7,0.6,1.1,2.1,23.7,20.3,25.4,7.4,108.3,104.3
,Kon Knueppel,Cha,*,G-F,20.3,20,33.4,21.1,14.5,49,0.898,103,0.563,167,0.413,0.598,0.629,18.4,5.7,3.0,0.8,0.2,2.3,24.1,21.3,27.0,8.1,117.6,114.9
,Desmond Bane,Orl,*,G,27.4,20,32.7,24.0,13.2,81,0.926,197,0.503,98,0.316,0.493,0.553,18.3,4.5,4.5,0.8,0.4,2.3,22.8,22.8,27.3,8.8,113.8,107.5
,DeMar DeRozan,Sac,*,G-F,36.3,20,33.1,21.0,8.1,103,0.903,220,0.518,39,0.359,0.521,0.596,18.2,3.1,3.6,1.2,0.2,1.2,21.3,21.7,24.8,7.1,121.4,119.6
,Chet Holmgren,Okc,*,C-F,23.6,16,29.6,23.3,14.9,63,0.841,126,0.659,68,0.353,0.613,0.656,18.2,7.9,1.8,0.7,1.4,2.1,26.1,19.9,27.9,8.6,120.0,96.0
,De'Andre Hunter,Cle,*,F-G,28.0,16,29.1,23.8,12.0,64,0.859,105,0.59,107,0.336,0.547,0.598,17.9,4.8,2.7,0.8,0.2,1.8,22.7,20.6,25.4,8.4,115.9,108.0
,Grayson Allen,Pho,*,G,30.1,14,31.6,20.9,11.1,34,0.794,63,0.508,121,0.438,0.606,0.628,17.9,2.9,4.2,1.6,0.3,1.6,20.8,22.1,25.0,7.6,126.0,112.6
,Ryan Rollins,Mil,*,G,23.4,21,32.5,24.2,15.7,46,0.783,176,0.54,124,0.403,0.567,0.587,17.9,4.1,5.9,1.7,0.3,2.7,22.0,23.8,27.9,9.3,113.1,113.3
